,Peripheral_Blood_13,Peripheral_Blood_15,Peripheral_Blood_20,unassigned,Peripheral_Blood_8,Peripheral_Blood_7,Peripheral_Blood_1,Peripheral_Blood_9,Peripheral_Blood_3,Peripheral_Blood_2,Peripheral_Blood_14,Peripheral_Blood_10,Peripheral_Blood_6,Peripheral_Blood_4,Peripheral_Blood_19,Peripheral_Blood_5,Peripheral_Blood_11,Peripheral_Blood_12,Peripheral_Blood_16,Peripheral_Blood_17,Peripheral_Blood_18,Peripheral_Blood_21
Gm7536,0.814421493910928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm7808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm8369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm9794,1.36041271826786,1.32256161743429,0.861753504697962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gngt2,0,0,0,0,0,0,0,1.47499765758986,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gpcpd1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gpr132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gpr18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gpr183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gpx1,0,0,1.92971232065514,1.28956405545417,0,1.16844697346706,0,2.57091301444965,2.06964129843951,0,2.08554676253824,2.27516635024848,1.51264705046897,1.25353319089464,0,1.09208849778269,0.847003811605877,2.52061723979568,1.71455160246302,1.50326879712043,1.47678668085768,1.17419492841823
Gramd1a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gramd3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grina,0,0,0,0,0,1.16519673773001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gzma,0,0,0,0,3.57424002292114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gzmb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H2-Aa,0,2.5950367895138,0,0,0,1.18555333239324,0,0,0,2.59613684447813,0,0,0,0,0,0,0,0,1.13912237504205,0,0,1.3551864886409
H2-Ab1,0,2.68381971768615,0,0,0,1.33396760980769,0,1.02921949346466,0.702055653695022,2.52031057170683,0,0,0,0,1.01211180682034,0,0,0,0.65637542622108,0,0,1.41374852431508
H2-DMa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H2-DMb1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H2-DMb2,0,0.51722165804297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H2-Eb1,0,2.51368877245044,0,0,0,0,0,0,0,2.33392628672083,0,0,0,0,0.781753237837355,0,0,0,0,0,0,1.12887870738375
H2-Oa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H2-Ob,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H2-Q10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H2-Q6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H2-Q7,0.822192589029735,0,0,0,0.693454972753339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
