,Ovary_3,Ovary_11,Ovary_4,Ovary_6,Ovary_10,Ovary_12,Ovary_1,Ovary_13,Ovary_5,Ovary_8,unassigned,Ovary_7,Ovary_9,Ovary_2,Ovary_14
Naca,1.48620508604311,1.4105931487036,1.47213913711467,1.45713437145499,1.22927987002657,1.22428247631058,1.59221611550712,1.11651560508103,1.23738505501845,1.58844910357375,0.712988249422169,1.56134534460392,1.52602061514017,1.49909611478715,0
Nap1l5,0,0,0,0.978811589670523,0,0,0,0,0,0,0,0,1.26463976168396,0,0
Nbl1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ndufa2,1.16902394338329,0.365782375967033,0,1.0288741396864,0.931755966115853,0.85762774376717,0.787512288039435,0,0.942866364911777,0,0,0,0,0,0
Ndufa3,1.20432119861014,0.455512088117242,0.696771271078209,0.932684153288367,1.06564975199027,0.85762774376717,0.890406398937099,1.03856973808159,1.02523000583786,0,0,0,0.732879650295576,0,0
Ndufa4,1.66698773658638,1.30663500342734,1.15983741255044,0.958776345740192,1.38579399603815,0.979774242868123,1.21979924580719,1.68795054418938,1.51344397424787,1.00478684996061,0.969965531967812,0,0,1.67929434089607,0
Ndufa5,0.707341931446777,0,0,0.628379649005087,0,0,0.761848117356742,0,0,0,0,0,0,0,0
Ndufa6,1.45522417373376,0,0,0.897906001049113,1.2887464425101,0,0.483610334570972,0.667811840258644,1.36034531904651,0,0,0,0.95545441524348,1.33490944277383,0
Ndufa7,1.2052763468446,0,0,0.97321238370571,0.961197561587921,0,1.17262107338245,0.826815509549507,1.34486714711579,1.03162500664706,0,0,0.863796316477191,0,0
Ndufc1,1.34971405669293,0.452842473617568,0,0.851247723633645,1.15102313513433,0,0.699093536068632,0,0.948623259447184,0,0,0,0.778597000740556,1.36741734290015,0
Nfkbia,0.43842474254608,1.67668319218227,0,0,0.906262742387585,1.94981959802185,0,1.99840959286652,0,0,0,0,0,0,0
Nhp2,1.01028909880616,0.397447931060939,0,0.444112288306414,0.289844949402755,0,0,0,0,0,0,0,0,0,0
Nme1,1.17851512419531,0.565009155980174,0,0,0.777259328688787,0,0.604497325266643,0,0,0,0,0,0,0,0
Nnat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nop10,0.911028840080051,0,0,0,0.456786282428557,0,0.552405641971654,0,0,0,0,0,0,0,0
Npc2,1.64573196452698,0,0,0,1.59370940142888,1.46628256199724,0,0,0,0,0,0,0,1.34813639630062,1.8526495638506
Npm1,1.34809426486988,1.65251775181361,1.48050002314724,1.67519771235203,1.00635387973257,0,1.92906384637845,0,0,1.69645509100506,0,1.74047054593444,1.34086104460029,1.21752840550437,0
Nr4a1,0.427478875813396,0,0,0,0.441614710909105,0,0,1.66562383902452,0,0,0,0,0,0,0
Nrn1,1.3818724746799,0,0,0,1.4879610364913,0,0,0,0,0,0,0,0,0,0
Nsmce4a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nupr1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oaf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ogn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Osr2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P4hb,0.848477482697292,0.7775243719142,1.03316203826236,1.12141312986132,0.947373421033159,0,1.3501417454531,0,0,0,0,0,1.11830972197157,0,0
Pabpc1,1.19767970745326,1.24314057353821,1.16357804200886,1.10683358526929,1.24558862575249,1.33568067321356,0.670477150215146,0.238605572424768,0,1.2280275479167,0,0,1.04304313555027,0,0
Pbk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcbp1,0.412337898381461,0,0.53508111436926,1.02447419333484,0,0,0.914468720019208,0,0,0,0,0,0,0,0
Pclaf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcolce,1.0592727889896,0,0,0,0.617544127960569,0,0,0,1.16086872663009,0,0,0,0,0,0
Pdia6,0.260397365304787,0.546624619436107,0,1.26638890169605,0,0,1.47703236781029,0,0,0,0,0,1.03098705126813,0,0
Pdlim1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pebp1,1.55682567251084,0,0,0.572196137878021,1.26213571532606,0,0,0,1.4364161448738,0,0,0,0,0,0
Pfn1,1.11308431483711,1.62071472923851,1.04453472214774,0.661451069975515,0.981846616799869,1.61013050826416,0,0,0,0,0,0,0,0,1.49247344136508
Phlda1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pim3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pkm,1.10968190178083,0.857784583965954,0,1.05564201583557,0.997661370742957,0,0.853780606633544,0,0,0,0,0,0,0,0
Pltp,0,0,0,0,0,1.20633950359567,0,0,0,0,0,0,0,0,1.97896377468147
Pnrc1,0.273871161701723,0,0,0,0,0,0,0.848790625255568,0,0,0,0,0,0,0
Polr2l,1.42119979224286,0,0,0,0.844115092953423,0,0,0,0,0,0,0,0,0.976118668295048,0
Ppia,2.43028571863442,2.68441269718146,1.96117331041941,2.19730992393214,2.03237807658407,1.7361941900632,2.04377669403899,1.74752596498417,1.62636861818901,1.58384530997572,1.25795564112912,1.59134167643984,1.77807669042032,2.2065400448266,0
