,Small-Intestine_9,unassigned,Small-Intestine_16,Small-Intestine_12,Small-Intestine_5,Small-Intestine_8,Small-Intestine_10,Small-Intestine_7,Small-Intestine_1,Small-Intestine_4,Small-Intestine_24,Small-Intestine_27,Small-Intestine_23,Small-Intestine_3,Small-Intestine_26,Small-Intestine_22,Small-Intestine_25,Small-Intestine_2,Small-Intestine_18,Small-Intestine_15,Small-Intestine_20,Small-Intestine_14,Small-Intestine_11,Small-Intestine_19,Small-Intestine_21,Small-Intestine_28,Small-Intestine_6,Small-Intestine_13,Small-Intestine_17
Rpl27,0,0,0.858422059594813,1.40633208854777,0,0,1.45604288232254,0,0,1.41393642537976,0.270647647519554,1.46493017500665,0.673141684844328,1.23673849047456,0.707294399588621,0,1.36268762034222,1.4439284118222,0,0,1.4381580010888,1.52008892611647,0,1.11095340570737,1.20832367202924,0.900787054039048,0,0,0
Rpl27a,0,0,0.671925077125089,1.25078744534026,0,0.41106005900838,1.48850316176153,0,0,1.40444475941041,0,1.31218273218378,0,1.19082966528643,1.35469254800131,0,0,1.58652442124723,0,0,1.60756476357334,1.57917931953826,0,0.961118143977732,1.35257126729433,1.36113604235642,0,0,0
Rpl3,0.413478920561255,1.26067575179123,1.04821943578722,1.8794424364503,0.745180789626484,0.824544725109334,1.59890315349523,0,0,1.36249141370349,0.802129743530138,1.14051744382708,1.02995533365151,2.01628251364082,1.40423539312223,1.01550486936054,1.44259581008469,1.46149809913558,0,0,1.79177679794723,1.84949891760502,0,1.37437221532511,1.37586132638932,1.99319698431651,1.51340949152274,1.14602710840721,0
Rpl30,0.63510627872185,1.16739072266427,1.02306965791865,1.60029301789539,0.576471202977472,0.906651815270953,1.72186390843096,0,0,1.50096456031712,1.19290702409513,1.769433916578,0.71397098388646,1.42292237102401,1.16218945668533,0.777116454445477,0.895050463964701,1.68450515973099,1.34010702432717,0,1.65755883683363,1.84260976935714,0,1.27992920760748,1.70633551014579,1.82965290178527,1.4320299911267,0,0
Rpl35a,0,0,1.01604841914525,1.58787908235335,0,0.478827256634466,1.36319804156621,0,0,1.33485610724998,0,1.72402683011508,0.620718210760149,1.18614089468525,1.17981578501594,0.345242062972505,0,1.26067659004459,1.13839085012035,0,1.45367084122308,1.58897396588265,0,0.965656050639606,1.54360909058173,1.33973219186537,0,0,0
Rpl36a,0,0,0.713997281788821,1.26668892709421,0,0,1.35780057484441,0,0,0.99445150206089,0,1.74782002817224,0,1.30785444774228,0.924778775337632,0.785218065239451,0.895050463964701,1.01179096499019,0,0,1.20729285809671,1.61066130052423,0,0.778942659427284,0.940438809175543,0.841996357424955,0,0,0
Rpl37a,0.841561418583086,1.30623886355675,1.35828225816968,1.97431683603032,0.696421194969633,1.12071415619862,2.00220472041387,0.441415896372755,0,1.93316097390569,1.51825868245112,2.36357194022343,1.36288388764089,1.56739487245096,1.53516597527045,1.36959328355173,1.09750957756877,2.14281886565899,1.5771336378101,0,2.13672593124517,2.42774089545606,0,1.40256288136917,1.89574729801597,1.43352905038567,1.45740392283586,0,0
Rpl39,0,1.05467456565865,0.848485725206158,1.72055599165164,0.516684128498031,0.819028451334798,1.6623878897536,0,0,1.54437018118675,0.653172307765719,2.22938056852293,0.919768966740105,1.37277538604814,1.40423539312223,0.861336889726881,0.895050463964701,1.61263959897617,1.21682867332676,0,1.71551622961442,1.73573233491013,0,1.1413248951847,1.43972020384956,1.55083491333419,0,0,0
Rpl6,0,0.723285497074816,0.948177725396726,1.59640807921237,0,0,1.4767312198366,0,0,1.35897003303523,0.270647647519554,1.68918920875015,0,1.31342357589696,0.944215359256397,0,0,1.43729190295194,0,0,1.57958489658034,1.4966253809034,0,1.2174368295819,1.04805987614864,1.12336747386414,0,0,0
Rpl9,0,0,0.818026791351016,1.31381382812676,0,0.648421058241791,1.54591596577041,0,0,1.33260721954934,0,1.53822069389602,1.01109484940735,1.20326543969537,1.1832927068903,0,0,1.42714109855724,0,0,1.4399438821002,1.67613179809811,0,0.798855371451089,1.40254661389081,1.08510755530028,0,0,0
