,unassigned,Neonatal-Muscle_18,Neonatal-Muscle_20,Neonatal-Muscle_19,Neonatal-Muscle_21,Neonatal-Muscle_11,Neonatal-Muscle_5,Neonatal-Muscle_12,Neonatal-Muscle_3,Neonatal-Muscle_9,Neonatal-Muscle_24,Neonatal-Muscle_23,Neonatal-Muscle_26,Neonatal-Muscle_7,Neonatal-Muscle_27,Neonatal-Muscle_15,Neonatal-Muscle_2,Neonatal-Muscle_6,Neonatal-Muscle_1,Neonatal-Muscle_16,Neonatal-Muscle_17,Neonatal-Muscle_14,Neonatal-Muscle_22,Neonatal-Muscle_8,Neonatal-Muscle_10,Neonatal-Muscle_4,Neonatal-Muscle_13,Neonatal-Muscle_25
Crip2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.351300945150441,0,0,0.807538082095668,0,0,0,0,0,0,1.14312805053777,0,0.521370829533757,0
Crispld2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cryab,0,0,0,0,0,0,0,0,0,0,0,0,0.715140995881128,1.37847224480021,0,0,0,0,0,1.3048576285256,0.700358630558232,0,0,0,0,0,0,0
Csf1r,0,0,0,0,0,0,0,0.835624782053317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Csf2ra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Csrp1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05102697710808,0,0,0.891393077216643,0,0,0,0,0,0,0
Csrp2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cst3,0,0.514512042227066,0,0.514226991282542,0,1.27110440134621,0,1.48926727989768,0,0.525600938783805,0,0.374898387622726,0,0,0.871601545546931,0,0,0.922713730723642,0,0,0,0,0,0,0.512207134548911,0,1.48475617521628,1.52883181690022
Cthrc1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.870497911404889,0,0,0,0,0,0,0,0,0,0,0,0,0
Ctla2a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.710968413394008,0,0,0
Ctsb,0,0,0,0,0,0.62769850333861,0,2.29044266235201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.418838561500342,0
Ctsc,0,0,0,0,0,0,0,0.826606649436091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ctsg,0,1.82067722830131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ctsl,0,0,0,0,0,0,1.0404475755369,1.17133946017841,0,0,0,0,0,0,0.591325584760324,0,0,0,0.974524165379771,0,0,0.802107207821577,0,0.823644869377823,0.728656786001797,1.1959082720685,0.361428214411746,0
Ctss,0,0,0,0,0,1.09959125345257,0,1.50278631009704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cxcl1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cxcl10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cxcl12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cxcl2,0,0,0,0,0,0,0.994446834619696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyba,0,0.725815800098939,0,0,0,1.37092589979899,1.11457685615318,1.39754915868669,1.08589577300517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.600990654942563
Cybb,0,0,0,0,0,0.484569831364501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cygb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyp11a1,0,0,0,1.2075897545226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyp4f18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyr61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cytl1,0,0,0,0,0,0,0,0,0,1.19270349591015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dbi,0,0,0,0,0,0,0,0,0,0,0,2.34719927052181,1.12106017098596,0,0,0,0,0,0,2.14497458312307,0,0,2.4384149727888,0,0,0,2.00143704106165,0
Dcn,0.405188078564562,0,0,0,0,0,0,0,0,0,0,0,0,0,0.790181559795251,0,0,0,2.54371033717424,0,0,2.31687734916262,0,2.18880044825617,0,3.05754619950882,0,0
Ddah2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Des,0,0,0,0,0,0,0,0,0,0,0,0,2.32066927221934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dkk2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dlk1,1.53064359747433,0,0,0,0,0,0,0,0,2.66093433737454,0,0,0,1.36700820369799,0,0,2.10068919685444,0.83532976849042,3.3142295450993,0,1.31522932744013,3.38418205612016,0,0.980825293268817,0,3.10502674069402,0,0
Dpt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.900792984287537,0,0
Dpysl3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dusp1,0,0,0,0.901693974311663,0,0.569848555052832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ebf1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.680646242318484,0,0,0,0,0,0,0,0,0,0,0,0
Eci1,0,0,0,0,0,0,0,0,0,0,0,0.193228008106263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.57244150458544,0
Egfl6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Egfl7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.40881660398312,0,0,0
Egfl8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.29276560603685,0,0,0,0,0,0,0,0
Egr1,0,0,0,0.722030077793866,0,0,0,0,0,0.893132728949163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elane,0,3.03149468271138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eln,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.857352137592399,0,0,2.10564098019377,0,0,0,0,0,0,0
Emp1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eno3,0,0,0,0,0,0,0,0,0,0,0,0,2.54650578550983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Epyc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Errfi1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Esam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.841365135753562,0,0,0
Fabp4,0,0,0,0,0,0,0,0,0,0,0,3.85976343532195,0,0,0,0,0,0.786172481919978,0,0,0,0,0,0,4.20115002594511,0,3.61139845123694,0
