,Bone_Marrow_Mesenchyme_9,Bone_Marrow_Mesenchyme_5,Bone_Marrow_Mesenchyme_1,Bone_Marrow_Mesenchyme_4,Bone_Marrow_Mesenchyme_6,Bone_Marrow_Mesenchyme_18,Bone_Marrow_Mesenchyme_15,Bone_Marrow_Mesenchyme_10,Bone_Marrow_Mesenchyme_14,Bone_Marrow_Mesenchyme_7,Bone_Marrow_Mesenchyme_2,Bone_Marrow_Mesenchyme_11,Bone_Marrow_Mesenchyme_19,Bone_Marrow_Mesenchyme_13,Bone_Marrow_Mesenchyme_12,Bone_Marrow_Mesenchyme_8,Bone_Marrow_Mesenchyme_17,Bone_Marrow_Mesenchyme_3,Bone_Marrow_Mesenchyme_16,unassigned
Eif5a,1.38048806312145,1.24273112572586,1.97226598911416,2.1523554627237,0.910209127061547,1.6995296895567,0.997366835106933,1.19881238106149,1.07750351743959,1.56705856670309,0.955336010967538,0.940859844269678,1.92898221502018,1.31126016861285,1.15166217871278,0.860725995608139,1.36742055100789,1.68297412837566,1.03968280138475,0
Elane,0,0,0,0,0,0,0,0,0,0,0,0,4.97698285525803,0,0,0,0,0,0,0
Emp3,0.668270421299556,0.734676222922567,0,0,0,0.186066598259881,0,0,1.5300200213242,0,0,0,0.668624335321452,0,0,0.895639107814826,0,0,0,0
Epx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4460704935391,0,0,0,0,0
Epyc,0,0,0,0,0,0,0,1.56526197920945,0,0,0,0,0,0,0,0,0,0,0,0
Erh,0,0,0.566230491731285,1.43458792372683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fabp4,0,0,0,0,0,0,0,0,0,0,0,0,0,2.96398630531009,0,0,0,0,0,0
Fam132a,0,0,1.30995423308108,1.18030464823015,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33851674547888,0,0
Fap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fcer1a,1.52103433956024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fcer1g,1.47544353809896,0,0,0,0.951989231321767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fkbp10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fkbp11,0,0,0,0,0,0,0,0,0,0,0.934809514387059,0,0,0,0,1.0467411272205,0,0,0,0
Fkbp1a,0,0,0,0,0,0,0,0,0,0,0,1.2738773460852,0,0,0,0,0,0,0,0
Fkbp7,0,1.35232508830889,0,0,0,0,0,0,0,0,1.38270021195888,0,0,0,0,1.44256115661701,0,0,0,0
Fkbp9,0,0,0,0,0,0,0,0.909361629863124,0,0,0,0,0,0,0,0,0,0,0,0
Fmod,0,0,0,0,0,0,0,1.93571215711793,0,0,0,0,0,0,0,0,0,0,1.15011228598314,0
Fn1,0,0,0,0,0,0,0,0,2.41318882507166,0,0,0,0,0,0,0,0,0,1.35319569165611,0
Fos,0.984355721422242,0.939377434590451,0,0,0.732031462090021,0,0,2.27711311661483,2.01800176527779,0,0.776391400257011,1.79715979655476,0.296546051289627,0.375616328728033,0.868045353164602,2.53433350829182,1.72834293048838,0,2.21907184796698,0
Fosb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.667089194084305,0,0,0,0
Fstl1,0,0,0,0,0,0,1.41835359522735,0,1.75331183817001,0,0,0,0,0,0,0,0,0,0,0
Fxyd1,0,0,0,0,0,0,0,0,0.235218308104882,0,0.517792036103135,0,0,0,0,1.01383708768156,0,0,0,0
Fxyd2,0,0,0,0,0,0,0,2.31277676129949,0,0,0,0,0,0,0,0,0,0,2.30718142108887,0
Fxyd5,0.699908739919924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G0s2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gadd45b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.791762071238448,0
Gadd45g,0,1.31919081405035,0,0,0,0,0.257818630742234,1.22561659427505,0,0,0,0,0,0,0,2.10316678479158,1.32173349986561,0,0,0
Gapdh,1.36468646638423,0,1.20092878997746,0,1.12385252043847,1.2596677868043,0.264988239273271,1.09435325362955,0.894826715160396,1.30690486003333,0,0,1.67477855068944,0.941909046628089,0,0,0,1.11537675222551,1.06906005481366,0
