,Trophoblast-Stem-Cell_4,Trophoblast-Stem-Cell_2,unassigned,Trophoblast-Stem-Cell_1,Trophoblast-Stem-Cell_3,Trophoblast-Stem-Cell_5
Ndufa2,0.667822910310232,0.595344018602803,0,0,0.688818044629958,0
Ndufa3,0.78966686685372,0.538725665852794,0,0,0.633306370868828,0
Ndufa4,0.924921272654879,1.03665157009329,0.561482569233856,0.914736620849227,0.891429306090376,1.39761952750672
Ndufa5,0.508773632483343,0.460562389084236,0,0,0.295365209470897,0
Ndufa6,0,0.377102412759938,0,0,0,0
Ndufa7,0.708267661106948,0.83109956847226,0,0,0.732973391575696,0
Ndufb2,0.438962515154408,0,0,0,0,0
Ndufb5,0,0,0,0,0,0
Ndufb6,0.777175924137906,0.697797582813791,0,0,0.643124718087149,0
Ndufb8,0.597031684096203,0.694777912915919,0,0,0.577617515195291,0
Ndufb9,0.883729840637187,0.751276828831144,0,0,0.730122478200455,1.00033844250059
Ndufc1,0.799670767518328,0.650848672923453,0,0,0.591685425800383,1.07192137739718
Ndufs6,0.541821955320435,0.523658997573091,0,0,0,0
Ndufs7,0.438962515154408,0,0,0,0,0
Ndufv2,0.452151318114112,0,0,0,0,0
Ndufv3,0,0,0,0,0,0
Nedd8,0.918033073896791,0.715145982085658,1.00239268117118,0.999964502732843,0.762224850010993,0
Nhp2,0.532574040750937,1.1115824516575,1.04135653907352,1.2037110864002,0.669637929766311,1.68008238663135
Nme1,1.01103415719916,1.30348465579798,1.23605977366985,1.24014383643791,1.12051928245352,1.00033844250059
Nol7,0,0,0,0,0,0
Nop10,0.450092426029571,0.646313857094229,0,0,0.42524147225891,0
Npc2,0.456252447146858,0,0,0,0.749217955890216,0
Npm1,1.61657970606245,2.21708870728261,1.46465023321831,1.47479027739314,1.41298364780606,1.8749613716745
Oaz1,0.871986658350731,0.825650855857337,0.445258846442163,0.797005408832412,0.853251734485871,1.00033844250059
Oxct1,0,0,0,0,0,0
P4hb,0.733547615267851,0,0,0,0.490371935858549,0
Pa2g4,0.470976343509437,0.450856411143184,0,0,0,1.21260534898698
Pabpc1,0.402176219497315,0.287340672765116,0,0,0,0
Paics,0,0.512399824774445,0,0,0,0
Park7,0,0,0,0,0,0
Pcsk1n,0,0,0,0,0,0
Pdap1,0.450321762702148,0.353599237011367,0,0,0,0
Pdcd6,0.375979225088985,0.470699437235719,0,0,0,0
Pdia6,0,0,0,0,0.502734032190797,0
Pebp1,0,0,0,0,0.417592223878931,0
Perp,0,0,0,0,0,0
Pfdn1,0.56603288500908,0.359190816252235,0,0,0,0
Pfdn5,0.373580901527145,0,0,0,0,0
Pfn1,0.923528078526051,0.785813032096743,0,0.542550779027943,1.08727836523579,0
Phb2,0.191341658738716,0.552138074509566,0,0,0,0
Phf5a,0,0.473367465047073,0,0,0,0
Phlda3,0,0,0,0,0,0
Pin1,0,0.450856411143184,0,0,0,0
Pmm1,0,0,0,0,0,0
Polr1d,0.530011908600347,0.506046324458777,0,0,0,0
Polr2e,0.614534275652604,0.390024395045099,0,0,0,0
Polr2f,0,0,0,0,0,0
Polr2j,0,0,0,0,0,0
Polr2m,0,0,0,0,0,0
Pomp,0.713758067844554,0.882963614884832,0,0.813136326075854,0.617479566595829,0
Ppa1,0,0.317927267474659,0,0,0,0
