,unassigned,Neonatal-Heart_1,Neonatal-Heart_2,Neonatal-Heart_4,Neonatal-Heart_15,Neonatal-Heart_17,Neonatal-Heart_3,Neonatal-Heart_8,Neonatal-Heart_6,Neonatal-Heart_13,Neonatal-Heart_11,Neonatal-Heart_18,Neonatal-Heart_14,Neonatal-Heart_5,Neonatal-Heart_12,Neonatal-Heart_9,Neonatal-Heart_16,Neonatal-Heart_7,Neonatal-Heart_10
Cldn5,0,0,0,1.03539287808635,0,1.54637341120319,0,0,0,0,0,1.21773378845241,0.973904402403446,0,0,0,0,0,0
Clic1,0,0,0,1.08877882376652,0.771278683955224,0,1.13190394276056,0,0.699143951273375,1.07206501704684,1.13075337505731,1.05389147099976,0.701407477237912,0.830210400943894,0,1.00530593706627,0,0,0
Clta,0,0,0,0,0,0.354161312276841,0,0,0,0,0,0,0,0,0,0,0,0,0
Clu,0,0,0,0,0,0,0,0,0,0,0,0.51600779888988,0,0,0,0,0,0,0
Cnbp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cnn2,0,0,0,0,0,0,0,0,0.931576756519754,0,0,0,0,0,0,0,0,0,0
Col1a1,0.823607260057728,0,1.4217537046741,0,0,0,0,0,0.851326840778397,0,0,0,0,1.61570891099617,0,0,0,0,0
Col1a2,0.941069043703684,0,1.55542970892929,0,0,0,0,0,1.02664995886652,0,0,0,0,1.86002269702839,0,0,0,0,0
Col3a1,0.993287286812974,0,2.20777192519203,0,0,0,0,0,0,0,0,0,0,2.02832255753782,0,0,0,0,0
Col4a1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.744678259719222
Col4a2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Col5a2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Col6a1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Col6a2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cops9,0,0,0,0,0,0,0,0,0,0,0.668734124378721,0,0,0,0,0,0,0,0
Cox5a,0.614164408748878,1.62191791911973,0,0,0,0,0,1.31703817986525,0,0,0.641875712426684,0.764070608248382,0,0,1.09225384620674,0,0,0,0
Cox5b,0.697984064814973,1.25634736918029,0,0,0,0,0,1.02735269087283,0,0,0,0,0.76192688683054,0,1.19436793355477,0,0.683040272168582,0.845630042308931,0
Cox6a1,0.85196415073471,1.19533383261119,0,0.68101613715689,0,1.03285722726236,0.763560467158806,0.958828863209936,0.629842714730744,0.904941905461477,0.834469346500228,0.813031661150883,0.968408090220302,0.893527436953618,0.815944291226565,0,0,1.05887481823953,0.962735178124095
Cox6a2,0.791046927225825,1.90171878329534,0,0,0,0,0,2.22047060931279,0,0,0,0,0,0,2.04852957699778,0,0,0,0
Cox6b1,1.20840355105409,1.91428533263017,1.01297211054983,0.890021089252237,0,1.09351191285085,1.02498923807472,1.88993436109533,0.914561199096841,1.16027606558034,0.97946350401536,1.10824684566317,1.19707004894449,1.08244760701955,1.94847356917302,1.25455709358063,1.17130593965664,1.18382374380444,1.3091488864902
Cox6c,1.31703613500511,2.17151155190476,1.15304484649506,1.06492021535926,0.81740040749528,0.727471706535949,1.05092489786049,2.09038705576984,1.095198029393,1.16027606558034,1.16637660352168,1.00752284104442,1.13797578349138,1.27117603825306,2.00790471057762,0.904591503196815,1.32181742836798,1.28759118428862,1.19533383261119
Cox7a1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cox7a2,1.00572022677651,1.58661946803017,0.727544175516758,0,0.231986123850505,0,0.66679525658919,1.37918246997407,0.710166086598584,0.819461129254725,0.834469346500228,0,0.906014563281123,0,1.40115275285553,0.733005772119955,0,1.06188852768062,1.11156273307315
Cox7a2l,0,0,0,0,0,0.752810578188387,0,0,0,0,0,0.828700152964669,0.758377280593528,0,0,0,0,0,0
Cox7b,1.03443800316926,1.84270156379301,0.80133871532043,0,0,0.679360126350654,0,1.70605733325959,0,0.819461129254725,0.720333504707984,0,0.715800733010381,0.736536457319835,1.64490163333757,0.773920853034458,0,1.0382685633694,1.05887481823953
Cox7c,1.04358415623432,1.74849652182777,0.899346854997822,0.641160912151844,0.759509772214727,1.16066249711215,0.712723154463208,1.74496757619469,1.10059096817658,0.999907778490043,0.726726562032369,0.895291322605243,1.19954020495658,0.856456441637533,1.65625359613439,0.895020833240165,0.998576349900967,1.167604833604,1.26095977135245
