,Blood,Vascular,Neurons,Oligos,Immune,Excluded,Astrocytes,Ependymal
ENSMUSG00000037706,0,2.24424898195043,0.971304753633488,2.97410472956427,3.5756036799405,2.79583046854358,3.39492909884133,1.81625704910739
ENSMUSG00000037852,0,0,1.45464208086276,0,0,1.05069009501534,2.85549595229676,1.76697767683636
ENSMUSG00000037902,0,0,0,0,1.48695734105266,0,0,0
ENSMUSG00000038173,0,0,0,0,0,0,0,0
ENSMUSG00000038370,0,0,0,0,0,0,0,1.54091927541143
ENSMUSG00000038530,0,0,0,0,0,0,0,0
ENSMUSG00000038543,0,1.21628135670403,0,0,0,0,0,0
ENSMUSG00000038642,0,0,0,0,4.11064939665039,0,0,0
ENSMUSG00000038668,0,0,0,0.871790750652455,0,0.64571645791338,0,0
ENSMUSG00000038695,0,0,0,1.63253090018924,0,1.16886292660236,0,0
ENSMUSG00000038717,0,0,0,0,0,0,0,0
ENSMUSG00000039114,0,0,0.631466031893371,0,0,0,0,0
ENSMUSG00000039167,0,0,0,0,0,0,0,0
ENSMUSG00000039278,0,0,2.28276596392394,0,0,0.721127385037301,0,0
ENSMUSG00000039323,0,0,0,0,0,0,0,0.617882789872015
ENSMUSG00000039533,0,0,0,0,0,0,1.82398571062082,0
ENSMUSG00000039809,0,0,0.774641786377493,0,0,0,0,0
ENSMUSG00000039830,0,0,0,0,0,0,0,0
ENSMUSG00000039904,0,0,0,0.666498381259065,0,0.450207606776292,0,0
ENSMUSG00000039953,0,0,1.56667799598064,0,0,0,0,0.371513342674384
ENSMUSG00000040010,0,1.30563399537668,0,0,0,0,0,0
ENSMUSG00000040035,0,0,1.01677965008223,0,0,0,0,0
ENSMUSG00000040055,0,0,0,0,0,0,0,0
ENSMUSG00000040229,0,0,0,0,1.70767693356122,0,0,0
ENSMUSG00000040249,0,0,0,0,0,0,0,0
ENSMUSG00000040280,0,0,0,0,0,0,0,0
ENSMUSG00000040536,0,0,0,0,0,0,0,0
ENSMUSG00000040584,0,0.898159407166,0,0,0,0,0,0
ENSMUSG00000040612,0,0,0.555661182171164,0,0,0,0,0
ENSMUSG00000040759,0,0,0,0.59296970836878,0,0,0,0
ENSMUSG00000040785,0,0,2.38197551586199,0,0,0.736537508125137,0,0
ENSMUSG00000040907,0,0,1.01666781605522,0,0,0,0,0
ENSMUSG00000041046,0,0,0,0,0,0,0,0
ENSMUSG00000041309,0,0,0,0,0,0,0,0
ENSMUSG00000041313,0,1.07822746112334,0,0,0,0,0,0
ENSMUSG00000041329,0,0,0,0,0,0.720730738806555,2.98868359396916,0
ENSMUSG00000041378,0.361708569754388,3.21954357609338,0,0,0,0,0,0
ENSMUSG00000041607,0.883968341460508,1.45982282871563,0.942443948291743,4.85795791971254,2.057030789473,4.06613373116944,2.15569094945352,1.22030704664074
ENSMUSG00000041801,0,0,0,0.880766569805161,0,0.499634440053978,0,0
ENSMUSG00000041889,0,0,0,1.56583590471306,0,1.0871019581198,0,0
ENSMUSG00000042099,0,1.00362695509891,0,0,0,0,0,0
ENSMUSG00000042116,0,1.50152848802497,0,0,0,0,0,0
ENSMUSG00000042312,0,0.740007321127973,0,0,0,0,0,0
ENSMUSG00000042745,0,1.53940251821684,0,0,0,0,0,0
ENSMUSG00000042750,0,0,2.07083793677252,0,0,0,0,0
ENSMUSG00000042757,0,0,0,0,0,0,0,0
ENSMUSG00000043067,0,0,0,1.09276562832208,0,0.847889764889121,0,0
ENSMUSG00000043419,0,0,1.05350040908009,0,0,0,0,0
ENSMUSG00000043496,0,0,0,0,0,0,1.7080838091662,0
ENSMUSG00000044033,0,0,0,0,0,0,0,0
ENSMUSG00000044080,0,0,0,0,0,0,0,0
ENSMUSG00000044258,0,0,0,0,0,0,0,0
ENSMUSG00000044349,0,0,2.71650515357849,0,0,0,0,0
ENSMUSG00000044708,0,0,0,0.943591828284375,0,1.09289565168505,2.03854412057493,0.225844485511632
ENSMUSG00000045092,0,0,0,0,0,0,0,0
ENSMUSG00000045532,0,0,0,0,0,0,0,0
ENSMUSG00000045763,0,0,1.36372768872915,0,0,0,0,0
ENSMUSG00000046160,0,0,0,1.8767106357054,0,1.41512450644796,0,0
ENSMUSG00000046432,0,0,1.55481253346672,0,0,0,0,1.06298676872567
ENSMUSG00000046447,0,0,1.00729846744117,0,0,0,0,0
