,Oligos,Neurons,Excluded,Vascular,Blood,Astrocytes,Immune,Ependymal
ENSMUSG00000047714,0,0,0,0,0,0,0,0
ENSMUSG00000047797,0,0,0,0,0,0,0,0
ENSMUSG00000048001,0,0,0,0,0,0,0,0
ENSMUSG00000048163,0,0,0,0,0,0,1.71274227081054,0
ENSMUSG00000048583,0,0,0,0,0,0,0,0
ENSMUSG00000048644,0,0.732644895019186,0,0,0,0,0,0
ENSMUSG00000048978,0,0,0,0,0,0,0,0
ENSMUSG00000049422,0,1.15951662386249,0.762682753689145,0,0,1.17121479075914,0,2.83990115541859
ENSMUSG00000049517,1.04976202898616,1.71221148700873,1.52244544988644,1.84458106769187,0,1.15466437241265,2.20236456059402,1.78978370007797
ENSMUSG00000049630,0,0,0,0,0,0,0,0
ENSMUSG00000049775,2.81184214915733,2.33188004238884,2.78196320131993,3.80942703296314,2.45166796870499,0,4.24037681339473,1.42470558777466
ENSMUSG00000050121,0,0,0,0,0,0,0,0
ENSMUSG00000050212,0,0,0,0,0,0,0,0
ENSMUSG00000050732,0,0,0,0,0,0,0,0
ENSMUSG00000050953,0,0,0,0,0,1.49122343251669,0,0
ENSMUSG00000051359,0,0,0,0,0,0,0,0
ENSMUSG00000051439,0,0,0,0,0,0,0,0
ENSMUSG00000051504,0,0,0,0,0,0,0,0
ENSMUSG00000051515,0,0,0,0,0,0,0,0
ENSMUSG00000051906,0,0,0,0,0,0,0,0
ENSMUSG00000052160,0,0,0,0,0,0,1.04779369393408,0
ENSMUSG00000052229,0,0,0,0,0,0,0,0
ENSMUSG00000052305,0,0,0,0,0,0,0,0
ENSMUSG00000052336,0,0,0,0,0,0,0,0
ENSMUSG00000052584,0,1.05623275113016,0,0,0,0,0,0
ENSMUSG00000052684,0,0,0,0.725073828380799,0,0,2.06241886409885,0.694084621115703
ENSMUSG00000052837,0,0,0,1.70153010683139,0,0,3.4662319101363,0
ENSMUSG00000053113,0,0,0,0,0,0,0,0
ENSMUSG00000053192,0,1.49505929086905,0.548309263397484,0,0,0,0,0
ENSMUSG00000053310,0,0,0,0,0,0,0,0
