,Excluded,Vascular,Immune,Oligos,Blood,Neurons,Astrocytes,Ependymal
ENSMUSG00000032118,0.973389314474721,0,0,2.1663265486913,0,0,0,0.471418729334892
ENSMUSG00000032181,0,0,0,0,0,0,2.04459133631784,0
ENSMUSG00000032281,0,0,0,0,0,0,1.79459207521129,0
ENSMUSG00000032349,0,0,0,0,0,0,0,0
ENSMUSG00000032359,0,0,1.29771692431959,0,0,0,0,0
ENSMUSG00000032434,0,0,1.52850033937149,0,0,0,0,0
ENSMUSG00000032482,1.17822388444437,0,0,0,0,0.714992919775973,2.84507671223771,0
ENSMUSG00000032503,1.36184576368427,0,0,0,0,1.91436104289445,0,0
ENSMUSG00000032517,0.773899294928506,0,0,3.47606778215931,0,0,0,0
ENSMUSG00000032532,1.53668403288885,0,0,0,0,2.33135075500152,0,0
ENSMUSG00000032549,0,0,0,0,0,1.21180913287987,0,0
ENSMUSG00000032554,0.9234806120203,0,1.79677683913956,3.28577043155468,0,0,0,0
ENSMUSG00000032667,0,0,0,0,0,0,0,0
ENSMUSG00000032698,0,0.954249480699414,0,0,0,0,0,0
ENSMUSG00000032766,0,2.25587261430866,0,1.36184576368427,0,0,0,0
ENSMUSG00000032854,0,0,0,1.76624866880873,0,0,0,0
ENSMUSG00000032966,1.90328744796151,1.56353296187658,0,2.26548649620647,0,1.85164189070816,0,0.940404986924437
ENSMUSG00000033061,0,0,0,0,0,0,0,0
ENSMUSG00000033161,1.13947399483367,0,0,0,0,1.49330456694032,0,1.97174568458338
ENSMUSG00000033192,0,0,1.73002351637305,0,0,0,0,0
ENSMUSG00000033208,0,0,0,0,0,0,0,1.15169347687743
ENSMUSG00000033579,0,0,0,1.33444594457592,0,0,0,0
ENSMUSG00000033953,0.832181363039335,0,0,0,0,1.23444513119821,0,0
ENSMUSG00000033981,1.50938174730293,0,0,0,0,1.92032437752887,1.65382126622912,0
ENSMUSG00000033998,0,0,0,0,0,0,1.79487374156382,0
ENSMUSG00000034708,0,0,1.66302657995084,0,0,0,0,0
ENSMUSG00000034891,1.73980892991082,0,0,0,0,2.5643307397567,0,0
ENSMUSG00000034892,1.12437590748861,2.24517286830415,3.20715634236917,1.37582718847192,0,1.3909644950526,0,2.08357729259498
ENSMUSG00000035104,0,0,0,0,0,0,1.06548131034929,0
ENSMUSG00000035237,0,0,0,0,0,0,0,0
ENSMUSG00000035686,0,0,0,0,0,0,0,0
ENSMUSG00000035783,0,0,0,0,0,0,0,0
ENSMUSG00000035805,0,0,0,0,0,0,1.46967069810288,1.94296785416978
ENSMUSG00000035864,1.23220643039089,0,0,0,0,2.2663928338517,0,0
ENSMUSG00000035964,0,0,0,0,0,0.383279883986791,0,0
ENSMUSG00000036256,0,3.07929794432401,0,0,0,0,0,0
ENSMUSG00000036353,0,0,4.0294144635821,0,0,0,0,0
ENSMUSG00000036362,0,0,0,0,0,0,0,0
ENSMUSG00000036402,0,0,0,1.04955218987119,0,0,0,0
ENSMUSG00000036438,3.32154048122198,1.96265393816798,2.6009456439824,1.83160899962508,0.809783862958819,3.89012398574897,1.0346313464377,2.45323468754918
ENSMUSG00000036503,0,0,0,1.55242605184765,0,0,0,0
ENSMUSG00000036564,1.17518356013028,0,0,0,0,1.9061389407008,0,0
ENSMUSG00000036570,0,0,0,0,0,0,0,1.31131379931686
ENSMUSG00000036634,0,0,0,2.83535406016221,0,0,0,0
ENSMUSG00000036887,0,0,4.63132252893414,0,0,0,0,0
ENSMUSG00000036896,0,0,3.96362869079097,0,0,0,0,0
ENSMUSG00000036905,0,0,4.13550571703568,0,0,0,0,0
ENSMUSG00000036908,0,0,1.74178100989592,0,0,0,0,0
ENSMUSG00000036949,0,0,0,0,0,0,0,0
ENSMUSG00000037031,0,0,0,0.694412775241567,0,0,0,0
ENSMUSG00000037166,0,0,0,2.36641986703588,0,0,0,0
ENSMUSG00000037242,0,0,0,0,0,0,0,0
ENSMUSG00000037601,1.19211340605418,0,0,0.596915382571653,0,1.56229026650862,0,0.948598306880846
ENSMUSG00000037624,0,0,0,0,0,0,0,0
ENSMUSG00000037625,0.96127944868519,0,0,3.6289607396688,0,0,0,0
ENSMUSG00000037706,2.78506907623654,2.67249266347865,3.75904412387431,3.93078388106542,0.453505039730253,1.00673963783117,2.88929413710425,1.98413518424822
ENSMUSG00000037712,0,0,0,0,0,0,0.759251318986231,0
ENSMUSG00000037771,0,0,0,0,0,0,0,0
ENSMUSG00000037852,1.64281853204542,0,0,0,0,1.50345745659034,2.84982148967274,2.35644676164687
ENSMUSG00000037996,0,0,0,0,0,0.582347915296773,0,0
ENSMUSG00000038128,0,0,0,0,0,0.616978652185601,0,0
ENSMUSG00000038370,0,1.02064255102109,0,0,0,0,0,0.480529068567857
ENSMUSG00000038530,0.869317139081498,0,0,0,0,0.862317441377229,0,0
ENSMUSG00000038543,0,0.963498390432789,0,0,0,0,0,0
ENSMUSG00000038619,0.494677700312268,0,0,0,0,1.26004347165605,0,0
ENSMUSG00000038642,0,0,4.48782192383036,0,0,0,0,0
ENSMUSG00000038695,0,0,0,1.83568735667597,0,0,0,0
ENSMUSG00000039114,0.649855747549059,0,0,0,0,1.25151456600578,0,0
ENSMUSG00000039195,1.34277589160232,0,0,0,0,1.74772738404946,0,0
ENSMUSG00000039217,0,0,0,0,0,0,0,0
ENSMUSG00000039278,1.95168174303433,0,0,1.06657829850458,0,2.67700908657347,0,0.468986257589545
ENSMUSG00000039323,0,0,0,0,0,0,1.91045884630408,0
ENSMUSG00000039533,0,0,0,0,0,0,1.8995806502643,0
ENSMUSG00000039904,0,0,0,0.896607454124043,0,0,0,0
ENSMUSG00000039953,1.11504418944457,0,0,0,0,1.80443525365826,0,0
ENSMUSG00000040010,0,1.3231846873541,0,0,0,0,0,0
ENSMUSG00000040055,0,0,0,0,0,0,1.59515926214402,0
ENSMUSG00000040229,0,0,2.13810119839935,0,0,0,0,0
ENSMUSG00000040280,0,0,0,0,0,0,0,0
ENSMUSG00000040584,0,1.0351450630558,0,0,0,0,0,0
ENSMUSG00000040747,0,0,1.47567401807586,0,0,0,0,0
ENSMUSG00000040759,0,0,0,1.33477701808532,0,0,0,0
ENSMUSG00000040785,1.51580254684213,0,0,0,0,2.28840892705266,0,0
ENSMUSG00000041309,0,0,0,1.09221755444668,0,0,0,0
ENSMUSG00000041313,0,0.803941394695307,0,0,0,0,0,0
