,Blood,Immune,Neurons,Vascular,Excluded,Oligos,Astrocytes,Ependymal
ENSMUSG00000036570,0,0,0,0,0,0,1.05794589615013,0
ENSMUSG00000036578,0,0,0,0,0,0,0,0
ENSMUSG00000036634,0,0,0,0,0,1.11315057774193,0,0
ENSMUSG00000036887,0,2.78686433219077,0,0,0,0,0,0
ENSMUSG00000036896,0,2.35917955688616,0,0,0,0,0,0
ENSMUSG00000036905,0,2.49118792173601,0,0,0,0,0,0
ENSMUSG00000037166,0,0,0,0,0,0.955107512311884,0,0
ENSMUSG00000037563,0,1.60376854798366,0,1.5690377147767,0.898029991599171,0.735981254100285,0,1.10131837692438
ENSMUSG00000037625,0,0,0,0,0.371599703999221,2.11267738979623,0,0
ENSMUSG00000037706,0,1.95602930990433,0,1.30389118761283,1.22552685283016,1.57716284261617,2.50786203649782,0.845393318366834
ENSMUSG00000037710,0,0,0,0,0.403555926141648,0.613810006122764,0,0
ENSMUSG00000037852,0,0,0,0,0,0,0,0
ENSMUSG00000037872,0,0,0,0,0,0,0,0
ENSMUSG00000037902,0,0,0,0,0,0,0,0
ENSMUSG00000037979,0,0,0,0,0,0,0,0
ENSMUSG00000038128,0,0,0,0,0,0,0,0
ENSMUSG00000038145,0,0,0,0,0,0,0,0
ENSMUSG00000038255,0,0,0,0,0,0,0,0
ENSMUSG00000038453,0,0,0,0,0,0,0,0
ENSMUSG00000038642,0,2.77843090408094,0,0,0,0,0,0
ENSMUSG00000039016,0,0,0,0,0,0.518823192480682,0,0
ENSMUSG00000039114,0,0,0,0,0,0,0,0
ENSMUSG00000039166,0,0,0,0,0,0,0,0
ENSMUSG00000039278,0,0,0,0,0.13304998664851,0,0,0
ENSMUSG00000039717,0,0,0,0,0,0,0,0
ENSMUSG00000039860,0,0,0,0,0,0,0,0
ENSMUSG00000039910,0,0,0,0,0,0,0,0
ENSMUSG00000039953,0,0,0,0,0,0,0,0
ENSMUSG00000040037,0,0,0,0,0,0,0,0
ENSMUSG00000040048,0,0,0,0,0,0,0,0.544191240830683
ENSMUSG00000040276,0,0,0,0,0,0,0,0
ENSMUSG00000040380,0,0,0,0,0,0,0,0
