,Oligos,Excluded,Neurons,Vascular,Astrocytes,Ependymal,Immune,Blood
ENSMUSG00000030428,0,0.912326271769913,0,0,1.69289251268761,0.902420692624762,0,0
ENSMUSG00000030465,0,0,0,0,0,0,0,0
ENSMUSG00000030495,0,0,0,0,0,0,0,0
ENSMUSG00000030579,0,0,0,0,0,0,3.01830065258319,0
ENSMUSG00000030605,0,0.439860109007604,0,0,0,0,0,0
ENSMUSG00000030695,0.608312105859211,0.954593680071855,1.60727997294181,0.788763983196834,1.02341546242016,1.21978122077442,0,0
ENSMUSG00000030717,0,0,0,0,0,0,0,0
ENSMUSG00000030844,0,0,0,0,0,0,2.02399001522864,0
ENSMUSG00000031144,0,0,0,0,0,0,0,0
ENSMUSG00000031239,0,0,0,2.01637695823548,0,0,0,0
ENSMUSG00000031285,0,0,0,0,0,0,0,0
ENSMUSG00000031342,1.52803916084247,1.13260665981139,0,0,1.7378925465381,0.99771545808559,0,0
ENSMUSG00000031425,7.22632297690897,0.701633992484999,0,0,1.26400003379897,0,0,0
ENSMUSG00000031447,1.4319201497635,1.19669498483009,0,0.645366950794932,1.38119165232928,0.413895680524899,1.73327253357944,0
ENSMUSG00000031517,0,0.84640592183627,0,0,0,0,0,0
ENSMUSG00000031610,0,0,0,0,0,0,0,0
ENSMUSG00000031760,0,2.11910206911362,0,0,2.6561476449453,3.81126500507142,0,0
ENSMUSG00000031762,0,0.953278888145717,0,0,1.15931656061637,2.13560865634293,0,0
ENSMUSG00000031765,0.664828111939947,2.46634417128876,0,1.49028720784849,2.66673759762543,3.51167707543641,0,0
ENSMUSG00000031775,1.60468712353286,0,0,0,0,0,0,0
ENSMUSG00000031778,0,0,0,0,0,0,0,0
ENSMUSG00000031785,0,0,0,0,0,0,0,0
ENSMUSG00000031840,0,0,1.20349270475492,0,0,0,0,0
ENSMUSG00000031983,0,0,0,0,0,0,0,0
ENSMUSG00000032011,0,0,0,0,0,0,0,0
ENSMUSG00000032060,3.3531421745574,0,0,0,0,0,0,0
ENSMUSG00000032118,1.4727641624517,0.635530321147957,0,0,0,1.06810672127822,0,0
ENSMUSG00000032181,0,0,0,0,0,0,0,0
ENSMUSG00000032281,0,0,0,0,0,0,0,0
ENSMUSG00000032320,0,0.243868039837165,0,0,0.923835205922681,0,0,0
ENSMUSG00000032359,0,0,0,0.341994320418962,0,0,1.26923827495423,0
ENSMUSG00000032368,0,0,0,0,0,0,0,0
ENSMUSG00000032482,0,1.0147950668721,0,0,1.10691383029933,0,0,0
ENSMUSG00000032503,0,0,0,0,0,0,0,0
ENSMUSG00000032517,3.38299530060584,0,0,0,0,0,0,0
ENSMUSG00000032532,0,0,0,0,0,0,0,0
ENSMUSG00000032554,1.42809540284174,0,0,0,0,0,1.52629768000791,0
ENSMUSG00000032564,0,0,0,0,0,0,0,0
ENSMUSG00000032679,0,0,0,0,0,0,0,0
ENSMUSG00000032766,0.969154778029079,0,0,1.76380389319071,0,0,0,0
ENSMUSG00000032826,0.462330558084655,0.859322071158835,0,0,0,0,0,0
ENSMUSG00000032854,1.31715837083274,0,0,0,0,0,0,0
ENSMUSG00000032966,2.01388997309243,1.19559165368656,1.39392439498436,1.25422990808833,0,0,0,0
ENSMUSG00000033152,0,0,0,0,0,0,0,0
ENSMUSG00000033161,0,0,0,0,0,1.16319091547198,0,0
ENSMUSG00000033174,0,0,0,0,0,0,0,0
ENSMUSG00000033192,0,0,0,0,0,0,1.12201512917092,0
ENSMUSG00000033208,1.33656576489004,0.310297388406012,0,0,0.960441752973438,0.735138250136455,0,0
ENSMUSG00000033579,1.14455658441726,0,0,0,0,0,0,0
ENSMUSG00000033615,0,0,0,0,0,0,0,0
ENSMUSG00000033768,0,0.603900682529644,0,0,0,0,0,0
ENSMUSG00000033981,0,1.51787520990061,1.48371430611201,0,0,0,0,0
ENSMUSG00000034160,0,0.705636588078579,1.20716008833373,0,0,0,0,0
ENSMUSG00000034187,0,0,0,0,0,0,0,0
ENSMUSG00000034353,0,0,0,0,0,0.413895680524899,0,0
ENSMUSG00000034570,0,0,0,0,0,0,0,0
ENSMUSG00000034730,0,0,0,0,0,0,0,0
ENSMUSG00000034825,0,0,0,0,0,0,0,0
ENSMUSG00000034891,0,0,0,0,0,0,0,0
ENSMUSG00000035237,0,0,0,0,0,0,0,0
ENSMUSG00000035258,0,0,0,0,0,0,0,0
ENSMUSG00000035268,0,0.734262202187468,1.06932725595107,0.564143148830914,0,1.16319091547198,0,0
ENSMUSG00000035551,0,0,0,0,0,0,0,0
ENSMUSG00000035686,0,0,0,0,0,0,0,0
ENSMUSG00000035805,0,0.712181114380132,0,0,0,1.31412906953426,0,0
ENSMUSG00000035864,0,0,0.877388373319003,0,0,0,0,0
ENSMUSG00000036256,0,0,0,2.18718562058795,0,0,0,0
ENSMUSG00000036353,0,0,0,0,0,0,2.9228877345248,0
ENSMUSG00000036402,1.18197335150074,0,0,0,0,0,0,0
ENSMUSG00000036438,1.13087307211709,1.65144707295923,3.09312424557153,1.30537798260626,0,1.56014616102836,1.77668176440197,0
ENSMUSG00000036478,0,0,0,0,0,0,0,0
ENSMUSG00000036480,0,0,0,0,0,0,0,0
ENSMUSG00000036564,0,0,1.54838293819429,0,0,0,0,0
ENSMUSG00000036570,0,0,0,0,1.17448329598968,0.474843480028152,0,0
ENSMUSG00000036634,1.61216652940848,0,0,0,0,0,0,0
ENSMUSG00000036887,0,0,0,0,0,0,4.27287663227274,0
ENSMUSG00000036896,0,0,0,0,0,0,3.60154799389004,0
ENSMUSG00000036905,0,0,0,0,0,0,3.65824162285703,0
ENSMUSG00000036908,0,0,0,0,0,0,1.34776235803734,0
ENSMUSG00000037031,0.46306549162963,0,0,0,0,0,0,0
ENSMUSG00000037071,0,0,0,0,0,0,0,0
ENSMUSG00000037072,1.36368905156325,0.826931373544277,0,1.27807210674834,1.59329153349569,1.25252239628807,1.03736309365579,0
ENSMUSG00000037166,1.46317685132504,0,0,0,0,0,0,0
ENSMUSG00000037206,0,0,0,0,0,0,0,0
ENSMUSG00000037217,0,0,0,0,0,0,0,0
ENSMUSG00000037601,0.376193937678314,0.473436450703759,1.32332587575749,0,0,0,0,0
ENSMUSG00000037624,0,0,0,0,0,0,0,0
ENSMUSG00000037625,2.73364346045708,0,0,0,0,0,0,0
ENSMUSG00000037706,2.42139565632936,1.98124485403059,0,1.80518281157534,2.42498829540866,1.45333285658859,3.11212692078011,0
ENSMUSG00000037771,0,0,0,0,0,0,0,0
ENSMUSG00000037852,0,0.974215178839903,0,0,1.51124240758468,2.04199269125522,0,0
ENSMUSG00000038370,0,0,0.700091778469863,0.76285633696028,0,0,0,0
ENSMUSG00000038486,0,0.438738175382312,0,0,0,0,0,0
ENSMUSG00000038642,0,0,0,0,0,0,3.85668554103142,0
ENSMUSG00000038695,1.41867883554771,0,0,0,0,0,0,0
ENSMUSG00000038718,0,0,0,0,0,0,0,0
ENSMUSG00000039278,1.05605958883173,0.891145903561854,1.54212890149785,0,0.936948488387813,0.882279658747662,0,0
ENSMUSG00000039323,0,0,0,0,0,0,0,0
ENSMUSG00000039533,0,0.822765963528975,0,0,1.91270831297764,0,0,0
ENSMUSG00000039542,0,0.426628896953359,0,0,0.787463705995086,0,0,0
ENSMUSG00000039910,0,0,0,0,0,0,0,0
ENSMUSG00000040010,0,0,0,1.06285121139856,0,0,0,0
ENSMUSG00000040229,0,0,0,0,0,0,1.50320424158849,0
ENSMUSG00000040699,0,0,0,0,0,0,0.732050337293232,0
ENSMUSG00000040759,0.754933637078859,0.54837395120668,0,0,1.12021609102296,0,0,0
ENSMUSG00000040785,0,0.828247661521086,1.45138124704919,0,0,0,0,0
ENSMUSG00000040907,0,0,0,0,0,0,0,0
ENSMUSG00000041329,0,1.02323250110861,0,0,1.45686012046405,0,0,0
ENSMUSG00000041378,0,0,0,3.0879339825155,0,0,0,0
ENSMUSG00000041556,0,0,0,0,0,0,0,0
ENSMUSG00000041607,4.14267617262778,0.652958139402255,0,0,0,0,0,0
ENSMUSG00000041616,0,0,0,0,0,0,0,0
ENSMUSG00000041889,1.49761877507646,0.71763206951679,0,0,0,0,0,0
ENSMUSG00000041911,0,0,0,0,0,0,0,0
ENSMUSG00000042099,0,0,0,0.754933637078859,0,0,0,0
