,Vascular,Blood,Neurons,Excluded,Oligos,Astrocytes,Ependymal,Immune
ENSMUSG00000045690,0,0,0,0,0,0,0,0
ENSMUSG00000046160,0,0,0,0.571625370705252,1.57969705366508,0,0,0
ENSMUSG00000046432,0,0,1.54537767222335,0.737791154289401,0,0,0.812307026601325,0
ENSMUSG00000046447,0,0,0,0,0,0,0,0
ENSMUSG00000046480,0,0,0,0,0,0,0,0
ENSMUSG00000047261,0,0,1.55416597469612,0.672540581552931,0,0,0,0
ENSMUSG00000047557,0,0,0,0,0,0,0,0
ENSMUSG00000047714,0,0,0,0,0,0,0,0
ENSMUSG00000047797,0,0,0,0,0,0,0,0
ENSMUSG00000047907,0,0,0,0,0,0,0,0
ENSMUSG00000047945,0,0,0,0.480336554428686,1.174685030794,0,0,0
ENSMUSG00000048001,0,0,0,0,0,1.34709551563556,0,0
ENSMUSG00000048163,0,0,0,0,0,0,0,2.21406089163369
ENSMUSG00000048251,0,0,0,0,0,0,0,0
ENSMUSG00000048644,0,0,0.988181196295611,0,0,0,0.471659081701936,0
ENSMUSG00000048747,0,0,0,0,0,0,0,0
