,Neurons,Excluded,Oligos,Vascular,Ependymal,Immune,Blood,Astrocytes
ENSMUSG00000033208,0,0,0,0,1.60830519286739,0,0,0
ENSMUSG00000033579,0,1.67433207622055,1.99893602782547,0,0,0,0,0
ENSMUSG00000033615,0,0,0,0,0,0,0,0
ENSMUSG00000033720,0,0,0,0,0,0,0,0
ENSMUSG00000033981,1.4377016070917,0.670635903648936,0,0,0,0,0,0
ENSMUSG00000033998,0,0,0,0,0,0,0,0
ENSMUSG00000034000,0,0,0,0,0,0,0,0
ENSMUSG00000034187,1.356812729194,0,0,0,0,0,0,0
ENSMUSG00000034353,0,0,0,0,1.75979139826077,0,0,1.53344414201321
ENSMUSG00000034891,2.40192435104421,0,0,0,0,0,0,0
ENSMUSG00000035104,0,0,0,0,0,0,0,0
ENSMUSG00000035237,0,0,0,0,0,0,0,0
ENSMUSG00000035352,0,0,0,0,0,0,0,0
ENSMUSG00000035566,0,0,0,0,0,0,0,0
ENSMUSG00000035640,1.40540886105564,0,0,0,0,0,0,0
ENSMUSG00000035686,0,0,0,0,0,0,0,0
ENSMUSG00000035783,0,0,0,0,0,0,0,0
ENSMUSG00000035805,0,0,0,0,1.28540057663385,0,0,0
ENSMUSG00000035864,1.0258005146843,0,0,0,0,0,0,0
ENSMUSG00000036256,0,0,0,2.49802192447767,0,0,0,0
ENSMUSG00000036353,0,0,0,0,0,3.2850894165987,0,0
ENSMUSG00000036402,0,0.996491965305207,1.3354880164926,0,0,0,0,0
ENSMUSG00000036560,0,0,0,0,0,0,0,0
ENSMUSG00000036564,1.95581388027098,0,0,0,0,0,0,0
ENSMUSG00000036570,0,0,0,0,0,0,0,0
ENSMUSG00000036634,0,2.46639923925614,2.68899334254649,0,0,0,0,0
ENSMUSG00000036885,0,0,0,0,0,0,0,0
ENSMUSG00000036887,0,0,0,0,0,4.1163102995803,0,0
ENSMUSG00000036896,0,0,0,0,0,3.51132783157967,0,0
ENSMUSG00000036905,0,0,0,0,0,3.73063697680884,0,0
ENSMUSG00000036949,0,0,0,0,0,0,0,0
ENSMUSG00000037060,0,0,0,0,0,0,0,0
ENSMUSG00000037166,0,1.2344549744216,1.89697566074691,0,0,0,0,0
ENSMUSG00000037428,0,0,0,0,0,0,0,0
ENSMUSG00000037625,0,3.35702009006406,3.77628342122613,0,0,0,0,0
ENSMUSG00000037771,0,0,0,0,0,0,0,0
ENSMUSG00000037852,0.979265824360128,0.629647611683876,0,0,1.87278943266267,0,0,2.44768142071731
ENSMUSG00000037902,0,0,0,0,0,1.03914977306218,0,0
ENSMUSG00000038156,0,0,0,0,0,0,0,0
ENSMUSG00000038370,0,0,0,0,1.87278943266267,0,0,0
ENSMUSG00000038642,0,0,0,0,0,4.22455490379415,0,0
ENSMUSG00000038695,0,1.326879025052,1.86454021181619,0,0,0,0,0
ENSMUSG00000038855,0,0,0,0,1.13376316127861,0,0,0
ENSMUSG00000039167,0,0,0,0,0,0,0,0
ENSMUSG00000039278,2.47144411969707,0.779859399952433,0,0,0,0,0,0
ENSMUSG00000039323,0,0,0,0,0,0,0,0
ENSMUSG00000039533,0,0.618255259205211,0,0,0,0,0,2.06841272484783
ENSMUSG00000040010,0,0,0,1.25050197188131,0,0,0,0
ENSMUSG00000040035,1.33273585120686,0,0,0,0,0,0,0
ENSMUSG00000040055,0,0,0,0,0,0,0,0
ENSMUSG00000040229,0,0,0,0,0,1.46160270872214,0,0
ENSMUSG00000040249,0,0,0,0,0,0,0,0
ENSMUSG00000040280,0,0,0,0,0,0,0,0
ENSMUSG00000040430,0,0,0,0,0,0,0,0
ENSMUSG00000040564,0,0,0,0,0,0,0,0
ENSMUSG00000040584,0,0,0,0,0,0,0,0
ENSMUSG00000040747,0,0,0,0,0,0,0,0
ENSMUSG00000040785,2.41838539056657,0.622579254217072,0,0,0,0,0,0
ENSMUSG00000040856,0,0,0,0,0,0,0,0
ENSMUSG00000040907,1.17361703744236,0,0,0,0,0,0,0
ENSMUSG00000041120,0,0,0,0,0,0,0,0
