d0	d2	d4	d7
Hsp90b1	1.66780430429973	2.38374291852982	2.45621958077618	1.70549312224655
Hspa12b	1.72665321744654	0	0	1.88182124352756
Hspa4	2.59039081943948	2.65874583473922	2.63559535064495	2.20386526255781
Hspg2	1.55752311153018	0	0	1.90528432047193
Hyal1	2.10965232880161	1.68190366088695	0	1.87952810599755
Id1	1.02536781167004	1.91007309510425	2.48981370555456	1.14958594666229
Id2	0	0	0	1.30609865144907
Id3	0	0	0	0.887882994299869
Igf2	0.519637686775266	0	0	1.14846971732313
Igfbp2	0.89434864161952	2.39324466579223	2.31993667412684	0
Il12a	1.02426893661601	0	0	2.13092304398428
Il5ra	2.06773599293778	1.59158923700628	0	2.09643482139073
Ilk	0.678899240517816	0	0	1.80824473348624
Inf2	2.79516484804971	1.70344436097493	0	1.28552938390119
Ino80d	1.79755930340148	0	0	1.64058354894307
Iqgap1	1.5234280156194	0	0	2.35274738898442
Itga6	1.59105646139696	0	0	2.08809648193106
Itsn1	1.77247649271887	0	0	1.77299729985407
Jarid2	2.2954161418429	2.11677429242496	0	0.98975759632956
Jmjd7-pla2g4b	1.73427377484253	3.8992408848544	2.02812553936911	1.28272363486295
Kazn	1.9701260147829	0	0	1.88751497822999
Kcnq1ot1	4.31784574209137	4.36741203526044	4.07389324791985	4.25490497654911
Kdm6a	1.49538745164419	0	0	1.98904790941235
Klf5	1.63820449115777	0	0	1.08615481127489
Klf6	1.00637559270761	0	2.05687448114691	1.66664318140993
Klhl7	2.40629777129231	2.91047094400135	1.92063582571499	1.34898558661678
Kpna2	1.5162019421801	2.04502299053359	2.49611932649648	1.59612153383002
Kpnb1	2.2772928098211	2.53095204855047	2.46925458364186	2.46867925947476
Kremen2	2.28292070250472	2.41874421770994	0	1.83672164613614
Krt18	0.69464537713241	0	3.09373247681577	6.07201555803017
Krt19	0	0	0	1.94340579883543
Krt8	0.614151899031211	0	3.18678020571833	6.04727584689881
L1td1	2.40893110343217	3.06265356073209	2.12196691283238	0.699248087633181
Lamp1	2.24478580089626	1.73858365546716	2.12103746661681	2.72016091624391
Lcmt2	2.01648850558746	2.7108588345614	0	1.63341936545299
Ldha	1.71566654602772	4.27867539798044	3.51252638886229	2.04968935570577
Lepr	2.06823003285404	2.72860612624821	0	2.0378274353049
Lgals1	0.746935796574769	0	2.48490627374144	4.1527364088062
Lmbrd1	1.80989993002073	2.21529371669875	0	1.50971151542726
Lmna	1.11085954312644	0	0	2.17299117359066
Loxl2	2.56554677542727	3.30520859304703	1.879726632726	1.62416462296404
Lpp	1.56420792411591	0	0	2.65676122853909
Lrba	2.00370213021458	0	0	1.85083981924171
Lrrc2	2.58907539292306	3.63995220557539	2.3753060250338	1.83484117090181
Ltbp1	1.94315281476799	0	0	1.65817836708273
Macf1	1.98694198583279	0	0	2.18968375008811
Madd	2.40126286092742	1.76118515193699	0	1.52252618633131
Malat1	3.36497052922928	2.47660025710244	3.63780218202983	3.52297980165266
Mannr	1.77557186728563	1.8786029409009	0	1.44576013785021
Map1b	1.46264633341521	0	0	2.01467140911192
March5	2.03780177179324	1.85072670649422	0	2.02658975829044
Marcksl1	1.73282944948841	1.59391867471284	0	2.33908862102246
Mat2a	2.19161113146445	2.97855520172122	2.61407871509708	1.7443966251286
Mcm3	1.78163731811266	2.34947583248314	2.22522951922386	0.973481203437834
Mcm5	1.9075499957687	2.38312909722691	2.24691310331825	1.0533917066084
