,alpha,ductal,endothelial,delta,acinar,beta,unclear,gamma,mesenchymal,epsilon
NDRG1,1.00141187054396,1.00141187054396,1.58873426750377,0,2.5968095554523,1.58873426750377,2.30159269246974,0,2.3310113247995,0
NDUFA4,1.00141187054396,4.04066547433843,2.82200215555242,1.00141187054396,3.1902461228973,1.58873426750377,2.57650674017596,1.00141187054396,3.41530605891233,1.00141187054396
NEAT1,2.5968095554523,3.94461184479151,3.1902461228973,3.01747376435913,5.35625168969217,1.58873426750377,4.41118039323849,2.00637582948719,3.61392337716269,0
NEUROD1,3.94461184479151,0,0,3.61392337716269,0,3.73230829087369,0,3.73230829087369,0,2.5968095554523
NFE2L2,1.00141187054396,2.3310113247995,2.00637582948719,1.58873426750377,2.82200215555242,2.00637582948719,3.15375008048728,1.00141187054396,3.1902461228973,1.58873426750377
NFIB,0,3.01747376435913,2.5968095554523,0,3.1902461228973,0,1.79755504849548,0,1.00141187054396,0
NFKBIA,0,2.3310113247995,2.00637582948719,0,2.82200215555242,1.00141187054396,4.78404955546333,0,2.00637582948719,0
NFKBIZ,0,3.01747376435913,0,0,3.61392337716269,0,2.4639104401259,1.00141187054396,1.00141187054396,0
NOL4,2.00637582948719,0,0,2.00637582948719,0,1.58873426750377,0,1.00141187054396,0,0
NPNT,1.00141187054396,1.58873426750377,0,0,0,0,0,1.00141187054396,0,0
NPTX2,0,0,0,1.00141187054396,0,3.54971069129241,0,0,0,0
NQO1,0,1.00141187054396,4.13108414072177,0,1.58873426750377,0,2.17326299147325,0,3.84214376653737,0
NR5A2,0,2.00637582948719,1.00141187054396,0,3.1902461228973,0,0,0,0,0
NRCAM,2.00637582948719,0,0,1.58873426750377,2.00637582948719,2.00637582948719,0,1.00141187054396,0,0
OCLN,1.00141187054396,3.01747376435913,0,1.00141187054396,3.84214376653737,1.00141187054396,3.73230829087369,1.00141187054396,0,2.3310113247995
OLFM4,0,2.00637582948719,1.00141187054396,0,7.43057725406696,0,2.00637582948719,0,1.00141187054396,0
ONECUT2,0,4.13108414072177,0,0,0,0,3.97441093157259,0,0,0
OSBPL8,1.00141187054396,1.58873426750377,1.58873426750377,1.00141187054396,1.58873426750377,2.00637582948719,1.79755504849548,1.00141187054396,3.01747376435913,0
PABPC3,1.00141187054396,2.3310113247995,1.58873426750377,1.00141187054396,3.61392337716269,1.58873426750377,2.09277191147803,1.00141187054396,3.61392337716269,0
PACSIN2,0,2.00637582948719,1.00141187054396,0,2.82200215555242,1.00141187054396,1.79911071299813,0,1.00141187054396,0
PAK3,2.3310113247995,0,0,2.5968095554523,0,1.58873426750377,0,2.00637582948719,0,2.00637582948719
PALLD,2.82200215555242,1.00141187054396,0,1.58873426750377,1.00141187054396,1.58873426750377,1.0031879147436,1.00141187054396,3.61392337716269,2.00637582948719
PAM,4.21651357227149,1.00141187054396,2.3310113247995,3.48549800542213,2.3310113247995,3.61392337716269,1.58873426750377,4.04066547433843,2.3310113247995,4.21651357227149
PAPSS2,3.34511411240253,1.00141187054396,0,1.58873426750377,3.1902461228973,3.61392337716269,1.50389385001558,2.00637582948719,2.82200215555242,3.73230829087369
PARM1,2.5968095554523,0,0,1.00141187054396,2.82200215555242,2.3310113247995,0,2.00637582948719,0,1.00141187054396
PARVA,1.00141187054396,2.00637582948719,2.00637582948719,0,2.5968095554523,1.00141187054396,1.00141187054396,0,3.54971069129241,0
PAX6,4.13108414072177,0,0,2.5968095554523,0,3.84214376653737,0.500705935271981,4.51800216022477,0,1.00141187054396
PCDH17,2.5968095554523,0,1.00141187054396,1.00141187054396,0,1.00141187054396,0.794367133751885,2.00637582948719,0,0
PCLO,2.3310113247995,1.00141187054396,0,3.1902461228973,1.00141187054396,3.01747376435913,0,2.82200215555242,0,2.3310113247995
PCP4,1.00141187054396,0,0,2.5968095554523,0,1.58873426750377,0,0,0,0
PCSK1,0,0,0,4.71153117401635,0,4.04066547433843,0.500705935271981,2.00637582948719,0,3.61392337716269
PCSK1N,2.3310113247995,0,0,2.5968095554523,0,2.3310113247995,0,3.01747376435913,0,2.00637582948719
PCSK2,6.06110795256511,1.58873426750377,1.00141187054396,4.4478756194429,1.58873426750377,3.34511411240253,1.66621159767173,4.4478756194429,1.58873426750377,1.58873426750377
PDE3B,2.3310113247995,0,0,0,1.00141187054396,1.00141187054396,0,0,0,1.00141187054396
