,A549,GM12878_B1,H1437,HCT116,IMR90,H1_B1,K562,GM12878_B2,H1_B2
MFHAS1,2.28902489464441,0,0,7.17332185467933,0,7.74274999161874,0.95765107348507,2.69000673814072,8.48045598944943
MGST1,11.9534077207267,0,6.97314830534854,8.46950709876814,9.33020536943472,10.9721416460773,8.20205562863738,6.52330374805923,10.8882968486214
MKI67,0,0,5.66988753236857,10.1731269878758,0,7.74888752427668,7.44397168315683,9.98386290563957,8.30121987844877
MLF1IP,0,0,5.04841162789702,6.30487515856111,0,8.38031235725805,7.3966048706628,7.12764541299427,8.72303486531951
MLH1,2.62268859099465,0,0,4.32676992962779,0,6.06536201325045,8.10196544296057,8.89404906528342,7.79072158936806
MMP16,0,0,0,0,0,8.56970686508662,0,0,8.82720994555448
MRFAP1L1,0,0,2.44663547920754,7.86485408281752,0,7.55829875240054,7.88087630182686,7.3279294448124,8.00890453741076
MRPL13,7.77114828734351,1.52029350209989,6.7166368080708,9.41285873450891,0,8.68159770190634,9.04789846638537,8.97820504323953,8.6705936335633
MRPL14,1.48432185419816,0.884764714147193,5.72337186836079,8.80559484217269,0,8.0838494257023,9.12336881362945,8.39428144321556,8.02400796627281
MRPL3,4.46359283076815,0,5.06289020879144,9.46420386600598,0,8.98482430113559,7.91418560096842,8.60853749661328,8.84756764339095
MRPL39,6.97708616905958,0.902514606307741,7.02188020827308,8.87208883137825,0,8.23328332339043,8.67252913074415,9.30852100626029,8.22816695964862
MRPL42,8.97905854088948,3.95336055809402,7.42782552066577,10.0746650509008,0,9.51907826950729,9.51381306967858,9.2599153072304,9.84846509399579
MRPS6,0,0,0,6.54527959310263,0,7.72507928776729,7.49510753539525,6.88232468457912,7.99252085303081
MRPS9,5.60830054547992,0,5.68570548790816,8.42035246729915,0,8.21114712626308,7.41500919647654,8.12271350015088,8.71558775170436
MS4A1,0,12.1087854158738,0,0,2.72000811729474,0,0,12.4759326019015,0
